date,dow,vtm,vleague,htm,hleague,daynt,parkid,attend,length,at_bats,hit,rbi,walk,strkout
20220407,Thu,SDN,NL,ARI,NL,N,PHO01,35508,198,55,7,5,14,11
20220407,Thu,CIN,NL,ATL,NL,N,ATL03,40545,181,66,14,8,6,26
20220407,Thu,MIL,NL,CHN,NL,D,CHI11,35112,198,62,18,9,8,16
20220407,Thu,PIT,NL,SLN,NL,D,STL10,46256,188,61,14,9,9,14
20220407,Thu,NYN,NL,WAS,NL,N,WAS11,35052,211,67,18,6,6,19
20220407,Thu,HOU,AL,ANA,AL,N,ANA01,44723,195,64,12,4,4,17
20220407,Thu,CLE,AL,KCA,AL,D,KAN06,28459,169,61,11,4,6,11
20220408,Fri,SDN,NL,ARI,NL,N,PHO01,17297,164,63,13,2,4,18
20220408,Fri,CIN,NL,ATL,NL,N,ATL03,40234,187,63,14,13,10,15
20220408,Fri,LAN,NL,COL,NL,D,DEN02,48627,189,71,15,7,7,23
20220408,Fri,OAK,AL,PHI,NL,D,PHI13,44232,194,67,17,13,5,19
20220408,Fri,MIA,NL,SFN,NL,D,SFO03,40853,206,72,15,10,10,13
20220408,Fri,NYN,NL,WAS,NL,N,WAS11,25677,223,67,18,10,7,19
20220408,Fri,HOU,AL,ANA,AL,N,ANA01,42719,224,80,27,18,3,15
20220408,Fri,CHA,AL,DET,AL,D,DET05,43480,210,67,16,9,7,14
20220408,Fri,SEA,AL,MIN,AL,D,MIN04,35462,173,60,9,3,11,17
20220408,Fri,BOS,AL,NYA,AL,D,NYC21,46097,236,78,18,11,7,26
20220408,Fri,BAL,AL,TBA,AL,D,STP01,25025,194,63,15,3,6,23
20220408,Fri,TEX,AL,TOR,AL,N,TOR02,45022,206,66,17,17,10,10
20220409,Sat,SDN,NL,ARI,NL,N,PHO01,19504,172,65,15,7,6,14
20220409,Sat,CIN,NL,ATL,NL,N,ATL03,40310,170,58,11,3,6,16
20220409,Sat,MIL,NL,CHN,NL,D,CHI11,30369,208,61,14,8,10,18
20220409,Sat,LAN,NL,COL,NL,N,DEN02,48087,168,66,15,5,1,19
