date,dow,vtm,vleague,htm,hleague,daynt,parkid,attend,length,vatbats,vhit,vrbi,vwalk,vstrkout,hatbats,hhit,hrbi,hwalk,hstrkout
20220407,Thu,SDN,NL,ARI,NL,N,PHO01,35508,198,29,4,2,7,5,26,3,3,7,6
20220407,Thu,CIN,NL,ATL,NL,N,ATL03,40545,181,35,10,6,1,13,31,4,2,5,13
20220407,Thu,MIL,NL,CHN,NL,D,CHI11,35112,198,33,10,4,4,9,29,8,5,4,7
20220407,Thu,PIT,NL,SLN,NL,D,STL10,46256,188,30,6,0,2,9,31,8,9,7,5
20220407,Thu,NYN,NL,WAS,NL,N,WAS11,35052,211,35,12,5,4,9,32,6,1,2,10
20220407,Thu,HOU,AL,ANA,AL,N,ANA01,44723,195,35,8,3,3,10,29,4,1,1,7
20220407,Thu,CLE,AL,KCA,AL,D,KAN06,28459,169,33,7,1,4,5,28,4,3,2,6
20220408,Fri,SDN,NL,ARI,NL,N,PHO01,17297,164,34,11,2,3,10,29,2,0,1,8
20220408,Fri,CIN,NL,ATL,NL,N,ATL03,40234,187,32,6,6,3,7,31,8,7,7,8
20220408,Fri,LAN,NL,COL,NL,D,DEN02,48627,189,36,8,4,4,11,35,7,3,3,12
20220408,Fri,OAK,AL,PHI,NL,D,PHI13,44232,194,34,6,4,0,11,33,11,9,5,8
20220408,Fri,MIA,NL,SFN,NL,D,SFO03,40853,206,39,9,5,3,6,33,6,5,7,7
20220408,Fri,NYN,NL,WAS,NL,N,WAS11,25677,223,37,13,7,6,10,30,5,3,1,9
20220408,Fri,HOU,AL,ANA,AL,N,ANA01,42719,224,40,14,13,3,8,40,13,5,0,7
20220408,Fri,CHA,AL,DET,AL,D,DET05,43480,210,34,8,4,3,3,33,8,5,4,11
20220408,Fri,SEA,AL,MIN,AL,D,MIN04,35462,173,31,5,2,7,11,29,4,1,4,6
20220408,Fri,BOS,AL,NYA,AL,D,NYC21,46097,236,39,9,5,3,11,39,9,6,4,15
20220408,Fri,BAL,AL,TBA,AL,D,STP01,25025,194,33,7,1,3,14,30,8,2,3,9
20220408,Fri,TEX,AL,TOR,AL,N,TOR02,45022,206,35,8,7,5,2,31,9,10,5,8
20220409,Sat,SDN,NL,ARI,NL,N,PHO01,19504,172,34,10,5,4,4,31,5,2,2,10
20220409,Sat,CIN,NL,ATL,NL,N,ATL03,40310,170,29,3,1,2,9,29,8,2,4,7
20220409,Sat,MIL,NL,CHN,NL,D,CHI11,30369,208,28,4,0,3,10,33,10,8,7,8
20220409,Sat,LAN,NL,COL,NL,N,DEN02,48087,168,34,7,2,0,9,32,8,3,1,10
20220409,Sat,OAK,AL,PHI,NL,D,PHI13,41622,157,30,5,2,1,12,29,7,4,4,7
